key,no,link,delta,item,item2,option,option2,Title,Step
,1,Q01_Sex_CR.png,0.156,性別,Gender,"0=女性, 1=男性","0=Female, 1=Male",Rasch-CAT for Skin Cancer," 0.000, , , , "
,2,Q02_How_would_you_rate_your_natural_skin_colour_on_areas_never_e.png,-2.320,從未曝曬於陽光部位的膚色,Skin colour on areas never exposed to the sun,"0=黑色/橄欖深色, 1=中等膚色, 2=白皙","0=Black/Olive-Dark, 1=Medium, 2=Fair",,"-2.460, 1.684, , , "
,3,Q03_IMAGINE_you_did_go_out_in_the_strong_sun_for_30_minutes_in_t.png,-0.168,正午強烈陽光下曝曬 30 分鐘時的反應,Your behavior in the strong sun for 30 minutes at noon,"0=不會曬傷, 1=輕微曬傷, 2=中度曬傷, 3=嚴重曬傷","0=Not burn, 1=Burn a little, 2=Burn moderately, 3=Burn badly",,"-1.507, 0.408, 1.099, , "
,4,Q04_Now_IMAGINE_you_did_spend_several_weeks_outdoors_in_the_sun_.png,-0.485,未保護皮膚時在戶外陽光下的反應,Your behavior outdoors in the sun without protecting your skin,"0=不會曬黑, 1=輕微曬黑, 2=中度曬黑, 3=深度曬黑","0=Not tan, 1=Tan lightly, 2=Tan moderately, 3=Tan deeply",,"-0.851, -0.421, 1.272, , "
,5,Q05_What_colour_are_your_eyes.png,-0.111,您的眼睛顏色為何？,What colour are your eyes?,"0=棕色/榛色, 1=綠色/灰色, 2=藍色","0=Brown/Hazel, 1=Green/Grey, 2=Blue",,"-0.039, 0.603, , , "
,6,Q06_What_was_your_NATURAL_hair_colour_when_you_were_21_years_of_.png,0.477,您 21 歲時的天然髮色為何？,What was your NATURAL hair colour at 21,"0=黑色/深棕色, 1=淺棕色/金色, 2=紅色/赤褐色","0=Black/Dark brown, 1=Light brown/Blonde, 2=Red/Auburn",,"-0.830, 0.702, , , "
,7,Q07_When_you_were_21_years_of_age_how_many_FRECKLES_on_your_face.png,0.720,您 21 歲時臉上有多少雀斑？,How many FRECKLES on your face at 21,"0=沒有雀斑, 1=少量雀斑, 2=一些雀斑, 3=很多雀斑","0=No freckles, 1=A few freckles, 2=Some freckles, 3=Many freckles",,"-0.366, 0.011, 0.355, , "
,8,Q08_When_you_were_21_years_of_age_how_many_MOLES_did_you_have_on.png,0.756,您 21 歲時皮膚上有多少痣？,How many MOLES did you have on your skin at 21,"0=沒有痣, 1=少量痣, 2=一些痣, 3=很多痣","0=No moles, 1=A few moles, 2=Some moles, 3=Many moles",,"-1.447, 0.529, 0.918, , "
,9,Q09_How_many_times_IN_YOUR_WHOLE_LIFE_have_you_used_sunbeds_or_t.png,1.269,您一生中總共有多少次？,How many times IN YOUR WHOLE LIFE ,"0=從未, 1=1-5次, 2=6次以上","0=Never, 1=1-5 times, 2=6+ times",,"-0.753, 0.295, , , "
,10,Q10_About_how_many_separate_SKIN_CANCERS_but_not_moles_or_warts_.png,0.975,曾有多少個不同部位／獨立發生的皮膚癌？,How many separate SKIN CANCERS,"0=0, 1=1個皮膚癌, 2=2個以上皮膚癌","0=0, 1=1 skin cancer, 2=2+ skin cancers",,"-1.362, 0.450, , , "
,11,Q11_About_how_many_separate_SUNSPOTS_or_SKIN_CANCERS_have_you_ev.png,0.531,曾有多少個不同部位／獨立發生的日光斑或皮膚癌？,How many separate SUNSPOTS or SKIN CANCERS,"0=無, 1=1-10個曬斑/皮膚癌, 2=11個以上曬斑/皮膚癌","0=None, 1=1-10 sunspots/skin cancers, 2=11+ sunspots/skin cancers",,"-0.221, 0.490, , , "
,12,Q12_Have_any_close_blood_relatives_ever_been_told_that_they_have.png,0.993,是否曾被告知患有黑色素瘤？,Been told that they have MELANOMA?,"0=否, 1=是","0=No, 1=Yes",,"0.000, , , , "
,13,Q13_Compared_to_other_Queenslanders_how_likely_do_you_think_it_i.png,0.264,您認為自己未來某個時候會罹患黑色素瘤嗎？,You will get melanoma at some time in the future?,"0=不太可能, 1=與一般人差不多, 2=有點更可能, 3=非常可能","0=Unlikely, 1=About the same, 2=Somewhat more likely, 3=Highly likely",,"-1.139, -0.820, 0.824, , "
,14,Q14_About_how_many_times_were_you_sunburned_so_badly_that_you_we.png,0.582,曾嚴重曬傷並疼痛至少 2 天的次數,How many times sunburned badly sore for at least 2 days,"0=從未, 1=1-5次, 2=6-20次, 3=21次以上","0=Never, 1=1-5 times, 2=6-20 times, 3=21+ times",,"-1.406, 0.114, 0.563, , "
,15,Q15_About_how_many_times_were_you_sunburned_so_badly_that_you_we.png,0.172,曾嚴重曬傷並疼痛至少 2 天的次數,How many times sunburned badly sore for at least 2 days,"0=從未, 1=1-5次, 2=6-20次, 3=21-50次, 4=50次以上","0=Never, 1=1-5 times, 2=6-20 times, 3=21-50 times, 4=50+ times",,"-2.395, 0.270, 0.736, 1.039, "
,16,Q16_About_how_many_times_were_you_sunburned_so_badly_that_you_we.png,0.583,曾嚴重曬傷導致皮膚脫皮的次數,How many times sunburned badly your skin peeled,"0=從未, 1=1-5次, 2=6-20次, 3=21次以上","0=Never, 1=1-5 times, 2=6-20 times, 3=21+ times",,"-1.831, 0.104, 0.673, , "
,17,Q17_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,0.285,每天在戶外停留多少小時？,How many HOURS spent outdoors EACH DAY,"0=0-1小時, 1=1-2小時, 2=2小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2+ hrs",,"-0.392, 0.436, , , "
,18,Q18_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.508,每天在戶外且曝曬於陽光下多少小時？,How many HOURS spent outdoors and in the sun EACH DAY,"0=0-1小時, 1=1-2小時, 2=2-3小時, 3=4小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2-3 hrs, 3=4+ hrs",,"-0.647, 0.238, 0.409, , "
,19,Q19_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.152,20–29 歲時每天在戶外陽光下停留多少小時？,How many HOURS spent outdoors in the sun aged 20-29 yrs,"0=0-1小時, 1=1-2小時, 2=2小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2+ hrs",,"-0.458, 0.411, , , "
,20,Q20_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,0.040,30–39 歲時每天在戶外陽光下停留多少小時？,How many HOURS spent outdoors in the sun aged 30-39 yrs,"0=0-1小時, 1=1-2小時, 2=2小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2+ hrs",,"-0.288, 0.420, , , "
,21,Q21_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.138,過去一年每天在戶外陽光下停留多少小時？,How many HOURS spent outdoors in the sun in the past year,"0=0-1小時, 1=1-2小時, 2=2小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2+ hrs",,"-0.418, 0.229, , , "
,22,Q22_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.942,10–19 歲時每天在戶外停留多少小時？,How many HOURS spent outdoors aged 10-19 yrs,"0=0-1小時, 1=1-2小時, 2=2-3小時, 3=4小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2-3 hrs, 3=4+ hrs",,"-0.464, 0.209, 0.256, , "
,23,Q23_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.724,20–29 歲時每天在戶外且曝曬於陽光下多少小時？,How many HOURS spent outdoors and in the sun aged 20-29 yrs,"0=0-1小時, 1=1-2小時, 2=2-3小時, 3=4小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2-3 hrs, 3=4+ hrs",,"-0.604, 0.175, 0.429, , "
,24,Q24_At_each_of_the_following_ages_time_periods_please_tell_us_ho.png,-0.452,30–39 歲時通常每天在戶外停留多少小時？,How many HOURS typically spent outdoors aged 30-39 yrs,"0=0-1小時, 1=1-2小時, 2=2-3小時, 3=4小時以上","0=0-1 hrs, 1=1-2 hrs, 2=2-3 hrs, 3=4+ hrs",,"-0.555, 0.189, 0.366, , "
,25,Q25_Do_you_ROUTINELY_that_is_most_days_apply_sunscreen_including.png,-0.458,外出曝曬陽光時，是否經常在臉部塗抹防曬乳？,ROUTINELY apply sunscreen going out in the sun to my face,"0=是, 1=否","0=Yes, 1=No",,"0.000, , , , "
,26,Q26_Do_you_ROUTINELY_that_is_most_days_apply_sunscreen_including.png,-1.801,是否經常在手部／前臂塗抹防曬乳？,ROUTINELY apply sunscreen to my hands/forearms,"0=是, 1=否","0=Yes, 1=No",,"0.000, , , , "
,27,Q27_Do_you_ROUTINELY_that_is_most_days_apply_sunscreen_including.png,-2.556,在陽光下時是否經常塗抹防曬乳？,ROUTINELY apply sunscreen  in the sun,"0=是, 1=否","0=Yes, 1=No",,"0.000, , , , "
,28,Q28_Do_you_ROUTINELY_that_is_most_days_apply_sunscreen_including.png,-0.357,外出曝曬陽光時經常塗抹防曬乳：否,ROUTINELY apply sunscreen going out in the sun: No,"0=否, 1=是","0=No, 1=Yes",,"0.000, , , , "
,29,Q29_Thinking_about_ALL_of_the_times_when_you_were_outside_in_the.png,-0.313,在戶外陽光下時是否塗抹防曬乳？,Whether applying sunscreen outside in the sun,"0=一直都是, 1=超過50%, 2=少於50%, 3=從未","0=All the time, 1=More than 50%, 2=Less than 50%, 3=Never",,"-0.901, -0.157, 1.059, , "
,30,Q30_Thinking_about_ALL_of_the_times_when_you_were_outside_in_the.png,0.447,過去一年中，您多常在戶外曝曬陽光？,How often outside in the sun in past year,"0=一直都是, 1=超過50%, 2=少於50%, 3=從未","0=All the time, 1=More than 50%, 2=Less than 50%, 3=Never",,"-0.768, -0.082, 0.850, , "
